timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
1723656460.693959,0.000000,0.000000,inf,117.125596,0
1723656460.734002,0.332850,0.332850,175.956241,117.113710,0
1723656460.773960,0.713250,0.713250,82.082414,117.071872,0
1723656460.813955,1.093650,1.093650,53.497662,116.999600,0
1723656460.853924,1.474050,1.474050,39.655704,116.896896,0
1723656460.893916,1.854450,1.854450,31.484223,116.763760,0
1723656460.933949,2.234850,2.234850,26.087790,116.600190,0
1723656460.973942,2.615250,2.615250,22.255576,116.406186,0
1723656461.014016,2.995650,2.995650,19.391766,116.181750,0
1723656461.054042,3.376050,3.376050,17.169061,115.926884,0
1723656461.094000,3.756450,3.756450,15.392542,115.641586,0
1723656461.133962,4.136850,4.136850,13.938878,115.325855,0
1723656461.173951,4.517250,4.517250,12.726755,114.979691,0
1723656461.213961,4.897650,4.897650,11.699881,114.603096,0
1723656461.253929,5.278050,5.278050,10.818021,114.196068,0
1723656461.293941,5.658450,5.658450,10.052145,113.758608,0
1723656461.333955,6.038850,6.038850,9.380209,113.290717,0
1723656461.373954,6.402333,6.402333,8.808732,112.792851,0
1723656461.413968,6.732462,6.732462,8.337840,112.267261,0
1723656461.453965,7.032297,7.032297,7.943126,111.716491,0
1723656461.493963,7.304619,7.304619,7.607745,111.142850,0
1723656461.534001,7.551953,7.551953,7.319409,110.548440,0
1723656461.573945,7.776590,7.776590,7.068420,109.935165,0
1723656461.613970,7.980615,7.980615,6.848157,109.304754,0
1723656461.653945,8.165917,8.165917,6.653444,108.658782,0
1723656461.693947,8.334216,8.334216,6.479391,107.998676,0
1723656461.733974,8.487072,8.487072,6.322896,107.325733,0
1723656461.773966,8.625901,8.625901,6.181678,106.641131,0
1723656461.813964,8.751991,8.751991,6.052901,105.945940,0
1723656461.853961,8.866511,8.866511,5.934766,105.241132,0
1723656461.893971,8.970522,8.970522,5.826337,104.527588,0
1723656461.933973,9.064989,9.064989,5.725976,103.806112,0
1723656461.973948,9.150787,9.150787,5.632240,103.077430,0
1723656462.013976,9.228713,9.228713,5.544820,102.342204,0
1723656462.053947,9.299487,9.299487,5.463065,101.601033,0
1723656462.093972,9.363768,9.363768,5.385573,100.854465,0
1723656462.133960,9.422150,9.422150,5.312112,100.102994,0
1723656462.173971,9.475174,9.475174,5.242717,99.347070,0
1723656462.214044,9.523333,9.523333,5.176368,98.587101,0
1723656462.253944,9.567073,9.567073,5.112553,97.823459,0
1723656462.293964,9.606799,9.606799,5.051542,97.056480,0
1723656462.333968,9.642880,9.642880,4.993142,96.286472,0
1723656462.373998,9.675650,9.675650,4.936165,95.513715,0
1723656462.413964,9.705413,9.705413,4.880746,94.738458,0
1723656462.454071,9.732445,9.732445,4.827330,93.960928,0
