timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
675817066,0.142650,0.142650,410.599659,117.123219,0
715752706,0.523050,0.523050,111.954939,117.096595,0
755743748,0.903450,0.903450,64.783309,117.039540,0
795681548,1.283850,1.283850,45.552862,116.952052,0
835689516,1.664250,1.664250,35.104163,116.834132,0
875630879,2.044650,2.044650,28.535921,116.685779,0
915632547,2.425050,2.425050,24.022156,116.506992,0
955610179,2.805450,2.805450,20.727237,116.297772,0
995549414,3.185850,3.185850,18.214626,116.058121,0
1035527183,3.566250,3.566250,16.233989,115.788039,0
1075499450,3.946650,3.946650,14.631170,115.487525,0
1115489010,4.327050,4.327050,13.306592,115.156577,0
1155464307,4.707450,4.707450,12.192995,114.795198,0
1195417943,5.087850,5.087850,11.242842,114.403386,0
1235405566,5.468250,5.468250,10.422094,113.981142,0
1275407237,5.848650,5.848650,9.705602,113.528467,0
1315386975,6.224964,6.224964,9.080020,113.045418,0
1355336512,6.571368,6.571368,8.562436,112.533357,0
1395315388,6.885986,6.885986,8.132158,111.994874,0
1435286913,7.171734,7.171734,7.768860,111.432393,0
1475378103,7.431261,7.431261,7.458376,110.848118,0
1515251024,7.666974,7.666974,7.189715,110.244049,0
1555224676,7.881057,7.881057,6.954787,109.622000,0
1595239385,8.075495,8.075495,6.747927,108.983621,0
1635218890,8.252091,8.252091,6.564070,108.330412,0
1675130943,8.412483,8.412483,6.399092,107.663733,0
1715083035,8.558156,8.558156,6.250532,106.984820,0
1755074731,8.690463,8.690463,6.115889,106.294796,0
1795044999,8.810628,8.810628,5.992563,105.594681,0
1835022860,8.919767,8.919767,5.879400,104.885400,0
1874995694,9.018892,9.018892,5.775285,104.167794,0
1915050967,9.108920,9.108920,5.678306,103.442629,0
1955019362,9.190687,9.190687,5.587756,102.710596,0
1994917914,9.264951,9.264951,5.503335,101.972326,0
2034870172,9.332401,9.332401,5.423823,101.228392,0
2074868846,9.393661,9.393661,5.348328,100.479314,0
2114930962,9.449300,9.449300,5.276931,99.725562,0
2154880328,9.499833,9.499833,5.209231,98.967567,0
2194819871,9.545729,9.545729,5.144128,98.205717,0
2234747080,9.587414,9.587414,5.081682,97.440367,0
2274747924,9.625274,9.625274,5.022118,96.671837,0
2314717262,9.659659,9.659659,4.964489,95.900421,0
2354691370,9.690890,9.690890,4.908229,95.126384,0
2394708163,9.719254,9.719254,4.853769,94.349964,0
2434628110,9.745016,9.745016,4.801415,93.571378,0
2474608848,9.768414,9.768414,4.750188,92.790828,0
2514587749,9.789665,9.789665,4.699558,92.008495,0
