timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
1718146274,0.332850,0.332850,175.956241,117.113710,0
1758159235,0.618150,0.618150,94.721740,117.085185,0
1798113285,1.093650,1.093650,53.497662,116.999600,0
1838114402,1.474050,1.474050,39.656068,116.896896,0
1878070779,1.854450,1.759350,32.318050,116.781828,0
1918135308,2.139750,2.139750,27.257682,116.643935,0
1958154375,2.520150,2.520150,23.105722,116.457540,0
1998063156,2.995650,2.995650,19.391805,116.181750,0
2038143168,3.280950,3.280950,17.676825,115.993453,0
2078113018,3.756450,3.756450,15.392556,115.641586,0
2118124332,4.136850,4.136850,13.938893,115.325856,0
2158111346,4.517250,4.517250,12.726747,114.979692,0
2198112380,4.897650,4.897650,11.699884,114.603096,0
2238141886,5.278050,5.278050,10.818046,114.196069,0
2278134609,5.563350,5.563350,10.234033,113.870827,0
2318093286,6.038850,5.943750,9.459672,113.350630,0
2358121841,6.402333,6.402333,8.808739,112.792852,0
2398118189,6.652884,6.652884,8.447598,112.401115,0
2438119637,6.958219,6.958219,8.037800,111.856546,0
2478120825,7.237339,7.237339,7.688508,111.288556,0
2518124122,7.550501,7.490846,7.354811,110.624070,0
2558144889,7.721091,7.719739,7.130023,110.090669,0
2598123510,7.974681,7.973508,6.853820,109.305780,0
2638124803,8.160528,8.159463,6.658240,108.660305,0
2678144214,8.288634,8.287643,6.525646,108.166820,0
2718111676,8.482626,8.481748,6.326702,107.328118,0
2758076483,8.621863,8.621065,6.184872,106.643888,0
2798175112,8.717841,8.717098,6.087107,106.123690,0
2838145926,8.834129,8.833454,5.967053,105.421543,0
2878145462,8.938659,8.938044,5.857418,104.710596,0
2918168013,9.034921,9.034362,5.755626,103.991656,0
2958145938,9.123478,9.122970,5.660092,103.265292,0
2998121899,9.222376,9.221925,5.549156,102.347946,0
3038123833,9.276531,9.276112,5.486721,101.792978,0
3078136268,9.342148,9.341767,5.408621,101.048193,0
3118160271,9.400092,9.399744,5.335521,100.298481,0
3158144271,9.454202,9.453562,5.264906,99.544306,0
3198204071,9.503991,9.503410,5.197318,98.785965,0
3238173296,9.549239,9.548450,5.133055,98.023828,0
3278120578,9.599173,9.598245,5.056575,97.066430,0
3318077891,9.635953,9.635111,4.997142,96.297039,0
3358146298,9.661307,9.660523,4.954101,95.718139,0
3398153446,9.692203,9.691491,4.898556,94.944005,0
3438155412,9.720286,9.719638,4.844511,94.167524,0
3478147398,9.745953,9.745365,4.791559,93.388887,0
3518132383,9.774750,9.773965,4.727508,92.412866,0
3558152226,9.790437,9.789706,4.690156,91.825929,0
3598115168,9.814192,9.813544,4.628926,90.845712,0
3638138293,9.831142,9.830553,4.580668,90.059915,0
3678160641,9.842902,9.842354,4.545162,89.469708,0
3718121582,9.860627,9.860141,4.487318,88.484543,0
3758117662,9.873416,9.872975,4.441546,87.695194,0
3798112351,9.884964,9.884563,4.396080,86.904871,0
3838121222,9.892975,9.892602,4.362416,86.311543,0
3878136145,9.902796,9.902457,4.318319,85.519721,0
3918113697,9.913815,9.913514,4.263688,84.528897,0
3958138680,9.919769,9.919489,4.230951,83.933897,0
3998116752,9.928739,9.928491,4.176988,82.941477,0
4038126573,9.935278,9.935052,4.134548,82.146923,0
4078163583,9.939786,9.939576,4.103044,81.550680,0
4118116005,9.946611,9.946425,4.049870,80.556373,0
4158137023,9.950329,9.950156,4.018055,79.959477,0
4198125228,9.955960,9.955806,3.965875,78.964172,0
4238151355,9.959027,9.958884,3.934971,78.366726,0
4278138191,9.963671,9.963545,3.883080,77.370595,0
23181577,9.966201,9.966083,3.851764,76.772702,0
63172103,9.970033,9.969928,3.800341,75.775893,0
103166669,9.972120,9.972022,3.769826,75.177631,0
143169499,9.974678,9.974590,3.728808,74.379763,0
183184167,9.977002,9.976921,3.687650,73.581701,0
223194961,9.979112,9.979039,3.646860,72.783459,0
263155576,9.981480,9.981415,3.596494,71.785432,0
303154614,9.983169,9.983110,3.555972,70.986853,0
343132270,9.984714,9.984660,3.515134,70.188148,0
383198611,9.985778,9.985729,3.484465,69.589042,0
423163222,9.987083,9.987038,3.444184,68.790134,0
463115661,9.988547,9.988228,3.399046,67.891238,0
503115779,9.989345,9.989308,3.363565,67.192021,0
543197722,9.990323,9.990289,3.322925,66.392838,0
583173597,9.991211,9.991180,3.282651,65.593579,0
623140238,9.992202,9.992175,3.232778,64.594410,0
