x,y
3.95767,1.06192
3.92868,1.05418
3.89971,1.04639
3.87074,1.03859
3.84179,1.03075
3.81283,1.02289
3.78389,1.015
3.75495,1.00708
3.72603,0.999123
3.69711,0.991157
3.66817,0.983235
3.63923,0.975332
3.61028,0.967473
3.58132,0.959632
3.55235,0.951837
3.52338,0.94405
3.49441,0.936257
3.46544,0.928465
3.43646,0.920714
3.40747,0.912982
3.37847,0.905299
3.34947,0.897623
3.32048,0.889902
3.2915,0.882164
3.26252,0.874383
3.23355,0.866584
3.2046,0.858741
3.17564,0.85089
3.14669,0.843044
3.11773,0.835194
3.08879,0.827297
3.05985,0.819386
3.03091,0.811482
3.00196,0.803624
2.973,0.795789
2.94403,0.788007
2.91505,0.780242
2.88607,0.772473
2.85711,0.764657
2.82815,0.756826
2.79919,0.749001
2.77021,0.74122
2.74124,0.733457
2.71225,0.72574
2.68325,0.71803
2.65426,0.710313
2.62527,0.702598
2.59627,0.694924
2.56726,0.687268
2.53824,0.67966
2.50922,0.672057
2.48021,0.664408
2.45121,0.65674
2.42222,0.649026
2.39323,0.641304
2.36424,0.633578
2.33527,0.625809
2.30629,0.618035
2.27732,0.61026
2.24835,0.602444
2.21939,0.59461
2.19045,0.586728
2.1615,0.57884
2.13255,0.570996
2.10359,0.563168
2.07461,0.555383
2.04564,0.547612
2.01665,0.53988
1.98766,0.532161
1.95866,0.524481
1.92966,0.516815
1.90064,0.509194
1.87162,0.501584
1.84261,0.493966
1.8136,0.486302
1.7846,0.478618
1.75561,0.470889
1.72663,0.463144
1.69766,0.455356
1.66869,0.447553
1.63974,0.439711
1.61078,0.431854
1.58184,0.423956
1.5529,0.416041
1.52398,0.408078
1.49506,0.400111
1.46612,0.39219
1.43718,0.38429
1.40823,0.376439
1.37927,0.3686
1.35031,0.360757
1.32135,0.352919
1.29238,0.345125
1.26341,0.33735
1.23442,0.329624
1.20543,0.321911
1.17644,0.314188
1.14747,0.306412
1.11849,0.298625
1.08951,0.29088
1.06052,0.283153
1.03152,0.275476
1.00252,0.267805
0.973528,0.260089
0.944543,0.252353
0.91557,0.24457
0.886601,0.236775
0.85763,0.228984
0.828658,0.221198
0.799687,0.213409
