x,y,speed
8.67019,0.0393063,1.16818
8.67989,0.0455254,1.13619
8.68929,0.0516759,1.11029
8.69846,0.0577433,1.08931
8.70743,0.063777,1.07232
8.71668,0.0700671,1.16398
8.71668,0.0700671,1.25129
8.72661,0.0769285,1.25129
8.73664,0.0840105,1.20349
8.74626,0.0909081,1.16479
8.75558,0.0976301,1.13345
8.76509,0.104585,1.2222
8.77526,0.112091,1.30673
8.78606,0.120142,1.38725
8.79687,0.12824,1.31359
8.80714,0.135943,1.25395
8.81746,0.14378,1.33697
8.82835,0.152193,1.41605
8.83919,0.160681,1.33692
8.84938,0.168825,1.27284
8.85907,0.176669,1.22094
8.86831,0.184324,1.17892
8.87762,0.192252,1.26551
8.887,0.200362,1.21501
8.89601,0.208204,1.17412
8.90469,0.215864,1.141
8.91311,0.223367,1.11418
8.92129,0.230772,1.09246
8.92968,0.238452,1.18317
8.93799,0.246195,1.08807
8.94551,0.253385,0.992967
8.95231,0.259967,0.899205
8.95841,0.266043,0.823276
8.96391,0.271745,0.761789
8.96891,0.277163,0.711997
8.97347,0.282365,0.671675
8.97766,0.287401,0.639022
8.97768,0.287417,0.004755
8.9778,0.287526,0.0283039
8.9781,0.287787,0.050733
8.97856,0.288193,0.0720957
8.97918,0.288736,0.0924425
8.97995,0.289411,0.111822
8.98085,0.290212,0.13028
8.9819,0.291132,0.14786
8.98307,0.292167,0.164604
8.98436,0.293311,0.180552
8.98576,0.294561,0.195742
8.98728,0.295912,0.210209
8.9889,0.297361,0.223989
8.99061,0.298903,0.237113
8.99241,0.300537,0.249614
8.9943,0.302258,0.261519
8.99627,0.304065,0.272859
8.99831,0.305955,0.28366
9.00043,0.307925,0.293947
9.0026,0.309972,0.303745
9.00484,0.312094,0.313077
9.00713,0.314289,0.321965
9.00948,0.316555,0.33043
9.01188,0.318889,0.338493
9.01432,0.321289,0.346173
9.0168,0.323754,0.353487
9.01932,0.326282,0.360454
9.02188,0.328871,0.36709
9.02446,0.331519,0.373409
9.02708,0.334225,0.379429
9.02972,0.336988,0.385162
9.03239,0.339805,0.390623
9.03508,0.342676,0.395823
9.03778,0.345598,0.400777
9.0405,0.348572,0.405495
9.04324,0.351595,0.409989
9.04599,0.354666,0.414269
9.04875,0.357784,0.418345
9.05151,0.360949,0.422228
9.05429,0.364158,0.425926
9.05706,0.367411,0.429448
9.05984,0.370707,0.432803
9.06262,0.374045,0.435998
9.0654,0.377424,0.439042
9.06818,0.380843,0.44194
9.07095,0.384301,0.444701
9.07372,0.387798,0.44733
9.07648,0.391332,0.449835
9.07924,0.394902,0.45222
9.08199,0.398509,0.454492
9.08472,0.40215,0.456656
9.08745,0.405826,0.458717
9.09017,0.409535,0.46068
9.09287,0.413277,0.46255
9.09556,0.417052,0.46433
9.09823,0.420858,0.466026
9.10089,0.424695,0.467642
9.10353,0.428563,0.469181
9.10616,0.43246,0.470646
9.10877,0.436386,0.472042
9.11136,0.440341,0.473371
9.11393,0.444323,0.474637
9.11648,0.448333,0.475843
9.11901,0.45237,0.476992
9.12152,0.456433,0.478086
9.124,0.460522,0.479128
9.12647,0.464636,0.480121
9.12891,0.468775,0.481066
9.13133,0.472938,0.481966
9.13373,0.477124,0.482824
9.1361,0.481333,0.48364
9.13846,0.485563,0.484418
9.14078,0.489816,0.485159
9.14309,0.494089,0.485865
9.14537,0.498384,0.486537
9.14762,0.502698,0.487177
9.14986,0.507032,0.487787
9.15206,0.511385,0.488368
9.15425,0.515757,0.488921
9.15425,0.515757,0.489448
9.1564,0.520147,0.489448
9.15854,0.524555,0.489949
9.16064,0.528981,0.490427
9.16272,0.533425,0.490882
9.16478,0.537885,0.491316
9.16681,0.542362,0.491729
9.16881,0.546853,0.492122
9.17079,0.55136,0.492497
9.17275,0.555882,0.492854
9.17468,0.560418,0.493193
9.17659,0.564968,0.493517
9.17847,0.569531,0.493825
9.18033,0.574109,0.494119
9.18216,0.5787,0.494399
9.18397,0.583303,0.494665
9.18557,0.588106,0.518694
9.18676,0.593271,0.54158
9.1878,0.598695,0.563378
9.18883,0.60434,0.584139
9.18988,0.610187,0.603913
9.19092,0.616231,0.622747
9.19197,0.62246,0.640685
9.193,0.62887,0.657771
9.19403,0.635449,0.674044
9.19503,0.642193,0.689543
9.19602,0.649092,0.704305
9.19697,0.656142,0.718366
9.19792,0.663329,0.731757
9.1989,0.670646,0.744512
9.19991,0.678501,0.839612
9.20103,0.687302,0.934712
9.20223,0.697052,1.02981
9.20351,0.707742,1.12349
9.2049,0.71934,1.21272
9.2049,0.71934,1.29771
9.20642,0.731799,1.29771
9.20808,0.745078,1.37865
9.2099,0.759133,1.45575
9.21189,0.773924,1.52918
9.21407,0.789413,1.59911
9.21645,0.805562,1.66573
9.21906,0.822336,1.72917
9.2219,0.839698,1.7896
9.22495,0.857624,1.84715
9.22819,0.876088,1.90197
9.23158,0.895068,1.95418
9.23512,0.91454,2.00391
9.23512,0.91454,2.05127
9.23878,0.934482,2.05127
9.24255,0.954874,2.09639
9.24644,0.975693,2.13935
9.25048,0.99691,2.18028
9.25471,1.0185,2.21926
9.25907,1.04045,2.25638
9.26351,1.06275,2.29174
9.26805,1.08539,2.32542
9.27266,1.10834,2.35749
9.27737,1.1316,2.38804
9.28216,1.15514,2.41714
9.28703,1.17896,2.44486
9.29197,1.20304,2.47125
9.29699,1.22736,2.4964
9.30207,1.25193,2.52034
9.30718,1.27672,2.54315
9.31228,1.30175,2.56487
9.3174,1.32699,2.58556
9.32252,1.35243,2.60527
9.32766,1.37807,2.62404
9.3328,1.40389,2.64192
9.33796,1.42989,2.65894
9.34311,1.45606,2.67516
9.34827,1.48238,2.69061
9.35342,1.50887,2.70532
9.35858,1.53549,2.71933
